nct	canonical_payload	registered_enrollment	enrollment_type	n_registered_arms	n_distinct_response_cohorts	n_response_observations	max_single_cohort_denominator	max_single_cohort_pointer	largest_within_measure_om_index	groups_in_that_measure	within_measure_denominator_sum	pooled_label_in_that_measure	conflict_findings	summation_policy	disjointness_status
NCT03290950	ctg_results_bor_2014_2017.txt	69	ACTUAL	2	2	2	41	ctg_results_bor_2014_2017.txt::NCT03290950::outcomeMeasures[0]::groups[OG001]	0	2	69	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02787642	ctg_results_bor_2014_2017.txt	41	ACTUAL	1	1	1	26	ctg_results_bor_2014_2017.txt::NCT02787642::outcomeMeasures[3]::groups[OG000]	3	1	26	True	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT03126591	ctg_results_bor_2014_2017.txt	41	ACTUAL	3	3	6	28	ctg_results_bor_2014_2017.txt::NCT03126591::outcomeMeasures[5]::groups[OG002]	5	3	41	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT03427073	ctg_results_bor_2014_2017.txt	20	ACTUAL	2	8	8	4	ctg_results_bor_2014_2017.txt::NCT03427073::outcomeMeasures[1]::groups[OG005]	1	8	20	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT03191786	ctg_results_bor_2014_2017.txt	453	ACTUAL	2	2	2	302	ctg_results_bor_2014_2017.txt::NCT03191786::outcomeMeasures[2]::groups[OG000]	2	2	453	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02611323	ctg_results_bor_2014_2017.txt	133	ACTUAL	4	4	8	41	ctg_results_bor_2014_2017.txt::NCT02611323::outcomeMeasures[9]::groups[OG001]	9	4	97	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02667886	ctg_results_bor_2014_2017.txt	74	ACTUAL	5	2	8	59	ctg_results_bor_2014_2017.txt::NCT02667886::outcomeMeasures[1]::groups[OG001]	1	2	62	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02171260	ctg_results_bor_2014_2017.txt	23	ACTUAL	1	4	4	6	ctg_results_bor_2014_2017.txt::NCT02171260::outcomeMeasures[12]::groups[OG000]	12	4	22	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02335983	ctg_results_bor_2014_2017.txt	107	ACTUAL	6	8	16	46	ctg_results_bor_2014_2017.txt::NCT02335983::outcomeMeasures[9]::groups[OG003]	9	8	171	False	WITHIN_MEASURE_SUM_EXCEEDS_ENROLLMENT	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02343549	ctg_results_bor_2014_2017.txt	13	ACTUAL	1	1	1	9	ctg_results_bor_2014_2017.txt::NCT02343549::outcomeMeasures[3]::groups[OG000]	3	1	9	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02302339	ctg_results_bor_2014_2017.txt	132	ACTUAL	4	4	4	62	ctg_results_bor_2014_2017.txt::NCT02302339::outcomeMeasures[0]::groups[OG000]	0	4	126	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02939183	ctg_results_bor_2014_2017.txt	61	ACTUAL	5	8	16	10	ctg_results_bor_2014_2017.txt::NCT02939183::outcomeMeasures[7]::groups[OG006]	7	8	45	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02138786	ctg_results_bor_2014_2017.txt	27	ACTUAL	1	1	2	25	ctg_results_bor_2014_2017.txt::NCT02138786::outcomeMeasures[0]::groups[OG000]	0	1	25	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02384239	ctg_results_bor_2014_2017.txt	70	ACTUAL	2	2	2	36	ctg_results_bor_2014_2017.txt::NCT02384239::outcomeMeasures[3]::groups[OG000]	3	2	68	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT04439253	ctg_results_bor_2014_2017.txt	4	ACTUAL	1	1	1	4	ctg_results_bor_2014_2017.txt::NCT04439253::outcomeMeasures[0]::groups[OG000]	0	1	4	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02789345	ctg_results_bor_2014_2017.txt	29	ACTUAL	3	1	2	25	ctg_results_bor_2014_2017.txt::NCT02789345::outcomeMeasures[3]::groups[OG000]	3	1	25	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02941926	ctg_results_bor_2014_2017.txt	3246	ACTUAL	1	1	2	3246	ctg_results_bor_2014_2017.txt::NCT02941926::outcomeMeasures[2]::groups[OG000]	2	1	3246	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT03245736	ctg_results_bor_2014_2017.txt	5	ACTUAL	1	1	1	5	ctg_results_bor_2014_2017.txt::NCT03245736::outcomeMeasures[1]::groups[OG000]	1	1	5	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02906332	ctg_results_bor_2014_2017.txt	12	ACTUAL	1	1	1	11	ctg_results_bor_2014_2017.txt::NCT02906332::outcomeMeasures[2]::groups[OG000]	2	1	11	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02152631	ctg_results_bor_2014_2017.txt	453	ACTUAL	2	2	2	270	ctg_results_bor_2014_2017.txt::NCT02152631::outcomeMeasures[1]::groups[OG000]	1	2	453	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT01946477	ctg_results_bor_2014_2017.txt	186	ACTUAL	2	3	3	112	ctg_results_bor_2014_2017.txt::NCT01946477::outcomeMeasures[0]::groups[OG001]	0	3	186	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02108964	ctg_results_bor_2014_2017.txt	225	ACTUAL	2	8	18	68	ctg_results_bor_2014_2017.txt::NCT02108964::outcomeMeasures[8]::groups[OG002]	8	8	207	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02441517	ctg_results_bor_2014_2017.txt	4	ACTUAL	1	1	1	4	ctg_results_bor_2014_2017.txt::NCT02441517::outcomeMeasures[4]::groups[OG000]	4	1	4	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02089334	ctg_results_bor_2014_2017.txt	24	ACTUAL	1	4	4	11	ctg_results_bor_2014_2017.txt::NCT02089334::outcomeMeasures[4]::groups[OG003]	4	4	22	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02730247	ctg_results_bor_2014_2017.txt	7	ACTUAL	1	1	1	6	ctg_results_bor_2014_2017.txt::NCT02730247::outcomeMeasures[5]::groups[OG000]	5	1	6	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT02193958	ctg_results_bor_2014_2017.txt	55	ACTUAL	9	9	9	17	ctg_results_bor_2014_2017.txt::NCT02193958::outcomeMeasures[1]::groups[OG008]	1	9	55	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT03271047	ctg_results_bor_2014_2017.txt	75	ACTUAL	4	4	4	27	ctg_results_bor_2014_2017.txt::NCT03271047::outcomeMeasures[1]::groups[OG000]	1	2	54	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
