nct	canonical_payload	registered_enrollment	enrollment_type	n_registered_arms	n_distinct_response_cohorts	n_response_observations	max_single_cohort_denominator	max_single_cohort_pointer	largest_within_measure_om_index	groups_in_that_measure	within_measure_denominator_sum	pooled_label_in_that_measure	conflict_findings	summation_policy	disjointness_status
NCT00940225	ctg_placebo_onc_1999_2009.txt	730	ACTUAL	7	16	16	171	ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[0]::groups[OG000]	0	10	586	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00418886	ctg_placebo_onc_1999_2009.txt	698	ACTUAL	2	2	4	278	ctg_placebo_onc_1999_2009.txt::NCT00418886::outcomeMeasures[3]::groups[OG001]	3	2	534	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00738699	ctg_placebo_onc_1999_2009.txt	415	ACTUAL	2	2	4	275	ctg_placebo_onc_1999_2009.txt::NCT00738699::outcomeMeasures[2]::groups[OG000]	2	2	415	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00565370	ctg_placebo_onc_1999_2009.txt	22	ACTUAL	2	1	1	16	ctg_placebo_onc_1999_2009.txt::NCT00565370::outcomeMeasures[2]::groups[OG000]	2	1	16	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00659438	ctg_placebo_onc_1999_2009.txt	95	ACTUAL	2	2	2	48	ctg_placebo_onc_1999_2009.txt::NCT00659438::outcomeMeasures[3]::groups[OG001]	3	2	95	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00321893	ctg_placebo_onc_1999_2009.txt	225	ACTUAL	2	2	4	100	ctg_placebo_onc_1999_2009.txt::NCT00321893::outcomeMeasures[2]::groups[OG001]	2	2	198	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00437294	ctg_placebo_onc_1999_2009.txt	86	ACTUAL	2	2	2	43	ctg_placebo_onc_1999_2009.txt::NCT00437294::outcomeMeasures[5]::groups[OG001]	5	2	85	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00613626	ctg_placebo_onc_1999_2009.txt	74	ACTUAL	3	2	4	28	ctg_placebo_onc_1999_2009.txt::NCT00613626::outcomeMeasures[2]::groups[OG001]	2	2	54	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00304239	ctg_placebo_onc_1999_2009.txt	131	ACTUAL	2	2	4	58	ctg_placebo_onc_1999_2009.txt::NCT00304239::outcomeMeasures[0]::groups[OG001]	0	2	115	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00493636	ctg_placebo_onc_1999_2009.txt	160	ACTUAL	2	2	4	81	ctg_placebo_onc_1999_2009.txt::NCT00493636::outcomeMeasures[3]::groups[OG000]	3	2	160	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00752986	ctg_placebo_onc_1999_2009.txt	39	ACTUAL	3	3	3	0			0	0	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00410124	ctg_placebo_onc_1999_2009.txt	416	ACTUAL	2	2	2	277	ctg_placebo_onc_1999_2009.txt::NCT00410124::outcomeMeasures[2]::groups[OG000]	2	2	416	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00786994	ctg_placebo_onc_1999_2009.txt	165	ACTUAL	4	3	3	47	ctg_placebo_onc_1999_2009.txt::NCT00786994::outcomeMeasures[0]::groups[OG000]	0	3	132	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00974311	ctg_placebo_onc_1999_2009.txt	1199	ACTUAL	2	2	2	446	ctg_placebo_onc_1999_2009.txt::NCT00974311::outcomeMeasures[7]::groups[OG000]	7	2	654	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00262067	ctg_placebo_onc_1999_2009.txt	1237	ACTUAL	2	4	8	345	ctg_placebo_onc_1999_2009.txt::NCT00262067::outcomeMeasures[1]::groups[OG000]	1	4	1008	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00626106	ctg_placebo_onc_1999_2009.txt	156	ACTUAL	2	2	2	63	ctg_placebo_onc_1999_2009.txt::NCT00626106::outcomeMeasures[3]::groups[OG000]	3	2	95	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00767520	ctg_placebo_onc_1999_2009.txt	155	ACTUAL	2	2	2	49	ctg_placebo_onc_1999_2009.txt::NCT00767520::outcomeMeasures[1]::groups[OG000]	1	2	98	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00422903	ctg_placebo_onc_1999_2009.txt	92	ACTUAL	2	2	2	48	ctg_placebo_onc_1999_2009.txt::NCT00422903::outcomeMeasures[0]::groups[OG000]	0	2	89	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00753675	ctg_placebo_onc_1999_2009.txt	174	ACTUAL	3	3	6	57	ctg_placebo_onc_1999_2009.txt::NCT00753675::outcomeMeasures[1]::groups[OG001]	1	3	165	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00387127	ctg_placebo_onc_1999_2009.txt	67	ACTUAL	2	2	2	34	ctg_placebo_onc_1999_2009.txt::NCT00387127::outcomeMeasures[10]::groups[OG001]	10	2	67	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00399035	ctg_placebo_onc_1999_2009.txt	1254	ACTUAL	4	2	2	502	ctg_placebo_onc_1999_2009.txt::NCT00399035::outcomeMeasures[2]::groups[OG000]	2	2	860	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00281697	ctg_placebo_onc_1999_2009.txt	684	ACTUAL	2	2	4	362	ctg_placebo_onc_1999_2009.txt::NCT00281697::outcomeMeasures[4]::groups[OG000]	4	2	541	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00738530	ctg_placebo_onc_1999_2009.txt	649	ACTUAL	2	2	4	306	ctg_placebo_onc_1999_2009.txt::NCT00738530::outcomeMeasures[7]::groups[OG000]	7	2	595	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00865709	ctg_placebo_onc_1999_2009.txt	198	ACTUAL	2	2	2	101	ctg_placebo_onc_1999_2009.txt::NCT00865709::outcomeMeasures[3]::groups[OG001]	3	2	198	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00876395	ctg_placebo_onc_1999_2009.txt	719	ACTUAL	2	2	16	480	ctg_placebo_onc_1999_2009.txt::NCT00876395::outcomeMeasures[4]::groups[OG000]	4	2	719	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00415194	ctg_placebo_onc_1999_2009.txt	795	ACTUAL	2	2	2	398	ctg_placebo_onc_1999_2009.txt::NCT00415194::outcomeMeasures[2]::groups[OG000]	2	2	795	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00790400	ctg_placebo_onc_1999_2009.txt	118	ACTUAL	2	3	6	112	ctg_placebo_onc_1999_2009.txt::NCT00790400::outcomeMeasures[0]::groups[OG002]	0	3	230	False	WITHIN_MEASURE_SUM_EXCEEDS_ENROLLMENT	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00244764	ctg_placebo_onc_1999_2009.txt	225	ACTUAL	2	1	1	225	ctg_placebo_onc_1999_2009.txt::NCT00244764::outcomeMeasures[0]::groups[OG000]	0	1	225	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00519285	ctg_placebo_onc_1999_2009.txt	1224	ACTUAL	2	2	6	560	ctg_placebo_onc_1999_2009.txt::NCT00519285::outcomeMeasures[1]::groups[OG001]	1	2	1119	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00508001	ctg_placebo_onc_1999_2009.txt	67	ACTUAL	3	3	3	25	ctg_placebo_onc_1999_2009.txt::NCT00508001::outcomeMeasures[1]::groups[OG001]	1	3	67	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00536939	ctg_placebo_onc_1999_2009.txt	2	ACTUAL	2	1	1	0			0	0	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00466440	ctg_placebo_onc_1999_2009.txt	108	ACTUAL	3	2	2	46	ctg_placebo_onc_1999_2009.txt::NCT00466440::outcomeMeasures[0]::groups[OG000]	0	2	86	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00693992	ctg_placebo_onc_1999_2009.txt	210	ACTUAL	2	2	2	106	ctg_placebo_onc_1999_2009.txt::NCT00693992::outcomeMeasures[2]::groups[OG000]	2	2	210	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00931606	ctg_placebo_onc_1999_2009.txt	30	ACTUAL	4	4	16	6	ctg_placebo_onc_1999_2009.txt::NCT00931606::outcomeMeasures[17]::groups[OG001]	17	4	16	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00567190	ctg_placebo_onc_1999_2009.txt	808	ACTUAL	2	2	4	343	ctg_placebo_onc_1999_2009.txt::NCT00567190::outcomeMeasures[3]::groups[OG000]	3	2	679	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00371566	ctg_placebo_onc_1999_2009.txt	107	ACTUAL	2	2	4	17	ctg_placebo_onc_1999_2009.txt::NCT00371566::outcomeMeasures[14]::groups[OG001]	14	2	30	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00753688	ctg_placebo_onc_1999_2009.txt	369	ACTUAL	2	2	2	246	ctg_placebo_onc_1999_2009.txt::NCT00753688::outcomeMeasures[2]::groups[OG001]	2	2	369	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00806286	ctg_placebo_onc_1999_2009.txt	111	ACTUAL	2	2	2	54	ctg_placebo_onc_1999_2009.txt::NCT00806286::outcomeMeasures[3]::groups[OG000]	3	2	108	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00387348	ctg_placebo_onc_1999_2009.txt	24	ACTUAL	3	3	3	11	ctg_placebo_onc_1999_2009.txt::NCT00387348::outcomeMeasures[0]::groups[OG002]	0	3	24	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT01023308	ctg_placebo_onc_1999_2009.txt	767	ACTUAL	2	2	2	387	ctg_placebo_onc_1999_2009.txt::NCT01023308::outcomeMeasures[4]::groups[OG000]	4	2	768	False	WITHIN_MEASURE_SUM_EXCEEDS_ENROLLMENT	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT01000025	ctg_placebo_onc_1999_2009.txt	720	ACTUAL	2	2	2	480	ctg_placebo_onc_1999_2009.txt::NCT01000025::outcomeMeasures[4]::groups[OG000]	4	2	720	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT01015118	ctg_placebo_onc_1999_2009.txt	1366	ACTUAL	2	2	2	911	ctg_placebo_onc_1999_2009.txt::NCT01015118::outcomeMeasures[6]::groups[OG000]	6	2	1366	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00510068	ctg_placebo_onc_1999_2009.txt	410	ACTUAL	2	2	2	207	ctg_placebo_onc_1999_2009.txt::NCT00510068::outcomeMeasures[1]::groups[OG000]	1	2	410	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00676650	ctg_placebo_onc_1999_2009.txt	873	ACTUAL	2	2	2	584	ctg_placebo_onc_1999_2009.txt::NCT00676650::outcomeMeasures[2]::groups[OG000]	2	2	873	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00537095	ctg_placebo_onc_1999_2009.txt	164	ACTUAL	2	2	4	73	ctg_placebo_onc_1999_2009.txt::NCT00537095::outcomeMeasures[1]::groups[OG001]	1	2	145	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00887822	ctg_placebo_onc_1999_2009.txt	202	ACTUAL	2	2	2	86	ctg_placebo_onc_1999_2009.txt::NCT00887822::outcomeMeasures[8]::groups[OG001]	8	2	167	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00879333	ctg_placebo_onc_1999_2009.txt	656	ACTUAL	2	2	2	439	ctg_placebo_onc_1999_2009.txt::NCT00879333::outcomeMeasures[4]::groups[OG000]	4	2	656	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00412061	ctg_placebo_onc_1999_2009.txt	429	ACTUAL	2	2	2	216	ctg_placebo_onc_1999_2009.txt::NCT00412061::outcomeMeasures[1]::groups[OG000]	1	2	429	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00770588	ctg_placebo_onc_1999_2009.txt	296	ACTUAL	2	2	2	148	ctg_placebo_onc_1999_2009.txt::NCT00770588::outcomeMeasures[2]::groups[OG000]	2	2	296	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00556712	ctg_placebo_onc_1999_2009.txt	889	ACTUAL	2	2	2	445	ctg_placebo_onc_1999_2009.txt::NCT00556712::outcomeMeasures[18]::groups[OG000]	18	2	881	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00890825	ctg_placebo_onc_1999_2009.txt	88	ACTUAL	2	2	2	43	ctg_placebo_onc_1999_2009.txt::NCT00890825::outcomeMeasures[2]::groups[OG000]	2	2	83	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00703326	ctg_placebo_onc_1999_2009.txt	1144	ACTUAL	2	2	2	759	ctg_placebo_onc_1999_2009.txt::NCT00703326::outcomeMeasures[3]::groups[OG000]	3	2	1144	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00753714	ctg_placebo_onc_1999_2009.txt	124	ACTUAL	2	2	2	63	ctg_placebo_onc_1999_2009.txt::NCT00753714::outcomeMeasures[2]::groups[OG001]	2	2	124	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00415363	ctg_placebo_onc_1999_2009.txt	109	ACTUAL	2	2	2	44	ctg_placebo_onc_1999_2009.txt::NCT00415363::outcomeMeasures[4]::groups[OG001]	4	2	85	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00915603	ctg_placebo_onc_1999_2009.txt	113	ACTUAL	2	2	2	57	ctg_placebo_onc_1999_2009.txt::NCT00915603::outcomeMeasures[2]::groups[OG001]	2	2	113	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00391118	ctg_placebo_onc_1999_2009.txt	153	ACTUAL	2	2	2	18	ctg_placebo_onc_1999_2009.txt::NCT00391118::outcomeMeasures[2]::groups[OG001]	2	2	32	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00900627	ctg_placebo_onc_1999_2009.txt	330	ACTUAL	2	2	2	88	ctg_placebo_onc_1999_2009.txt::NCT00900627::outcomeMeasures[2]::groups[OG000]	2	2	173	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT01682031	ctg_placebo_onc_1999_2009.txt	18	ACTUAL	2	2	2	0			0	0	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00600015	ctg_placebo_onc_1999_2009.txt	166	ACTUAL	2	2	4	111	ctg_placebo_onc_1999_2009.txt::NCT00600015::outcomeMeasures[0]::groups[OG000]	0	2	166	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00804908	ctg_placebo_onc_1999_2009.txt	346	ACTUAL	3	3	6	116	ctg_placebo_onc_1999_2009.txt::NCT00804908::outcomeMeasures[4]::groups[OG001]	4	3	346	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00390455	ctg_placebo_onc_1999_2009.txt	295	ACTUAL	2	2	6	103	ctg_placebo_onc_1999_2009.txt::NCT00390455::outcomeMeasures[1]::groups[OG001]	1	2	204	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00064350	ctg_placebo_onc_1999_2009.txt	342	ACTUAL	3	2	4	50	ctg_placebo_onc_1999_2009.txt::NCT00064350::outcomeMeasures[0]::groups[OG000]	0	2	81	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00533429	ctg_placebo_onc_1999_2009.txt	40	ACTUAL	2	2	2	20	ctg_placebo_onc_1999_2009.txt::NCT00533429::outcomeMeasures[1]::groups[OG000]	1	2	40	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00661830	ctg_placebo_onc_1999_2009.txt	103	ACTUAL	2	2	4	49	ctg_placebo_onc_1999_2009.txt::NCT00661830::outcomeMeasures[2]::groups[OG000]	2	2	97	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00128102	ctg_placebo_onc_1999_2009.txt	661	ACTUAL	2	2	2	323	ctg_placebo_onc_1999_2009.txt::NCT00128102::outcomeMeasures[5]::groups[OG001]	5	2	641	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00704730	ctg_placebo_onc_1999_2009.txt	330	ACTUAL	2	2	4	208	ctg_placebo_onc_1999_2009.txt::NCT00704730::outcomeMeasures[2]::groups[OG000]	2	2	312	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00102804	ctg_placebo_onc_1999_2009.txt	663	ACTUAL	2	2	2	441	ctg_placebo_onc_1999_2009.txt::NCT00102804::outcomeMeasures[4]::groups[OG000]	4	2	663	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00434252	ctg_placebo_onc_1999_2009.txt	214	ACTUAL	2	2	6	141	ctg_placebo_onc_1999_2009.txt::NCT00434252::outcomeMeasures[2]::groups[OG001]	2	2	208	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00753545	ctg_placebo_onc_1999_2009.txt	265	ACTUAL	2	2	6	136	ctg_placebo_onc_1999_2009.txt::NCT00753545::outcomeMeasures[3]::groups[OG000]	3	2	265	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00073307	ctg_placebo_onc_1999_2009.txt	903	ACTUAL	2	2	2	337	ctg_placebo_onc_1999_2009.txt::NCT00073307::outcomeMeasures[3]::groups[OG001]	3	2	672	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00760929	ctg_placebo_onc_1999_2009.txt	171	ACTUAL	4	3	3	57	ctg_placebo_onc_1999_2009.txt::NCT00760929::outcomeMeasures[2]::groups[OG000]	2	3	171	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
