Source Name	Comment [Sample_characteristics]	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Extract Name	Material Type	Labeled Extract Name	Label	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM98508 2	STT854 mRNA	Simple annotation: Primary tumor, Disease response	Image: http://smd.stanford.edu/MicroArray/gifs/2001-05/16490.gif	STT854 mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98508 extract 2	total RNA	GSM98508 LE 2	Cy5	GSM98508	A-GEOD-2938	P-GSE4303-1	P-GSE4303-2	GSM98508_sample_table.txt norm	GSM98508_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98508 1	CRG mRNA	Simple annotation: Primary tumor, Disease response	Image: http://smd.stanford.edu/MicroArray/gifs/2001-05/16490.gif	CRG mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98508 extract 1	total RNA	GSM98508 LE 1	Cy3	GSM98508	A-GEOD-2938	P-GSE4303-1	P-GSE4303-2	GSM98508_sample_table.txt norm	GSM98508_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98507 2	STT607D mRNA	Simple annotation: Primary tumor, Disease response	Image: http://smd.stanford.edu/MicroArray/gifs/2002-01/24434.gif	STT607D mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98507 extract 2	total RNA	GSM98507 LE 2	Cy5	GSM98507	A-GEOD-3288	P-GSE4303-1	P-GSE4303-2	GSM98507_sample_table.txt norm	GSM98507_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98507 1	CRH mRNA	Simple annotation: Primary tumor, Disease response	Image: http://smd.stanford.edu/MicroArray/gifs/2002-01/24434.gif	CRH mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98507 extract 1	total RNA	GSM98507 LE 1	Cy3	GSM98507	A-GEOD-3288	P-GSE4303-1	P-GSE4303-2	GSM98507_sample_table.txt norm	GSM98507_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98506 2	STT3783-Myxoid chondrosarcoma	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/42109.gif	STT3783-Myxoid chondrosarcoma	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98506 extract 2	total RNA	GSM98506 LE 2	Cy5	GSM98506	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98506_sample_table.txt norm	GSM98506_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98506 1	CRH-mRNA	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/42109.gif	CRH-mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98506 extract 1	total RNA	GSM98506 LE 1	Cy3	GSM98506	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98506_sample_table.txt norm	GSM98506_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98505 2	STT709B mRNA	Simple annotation: Primary tumor, Disease response	Image: http://smd.stanford.edu/MicroArray/gifs/2002-01/24144.gif	STT709B mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98505 extract 2	total RNA	GSM98505 LE 2	Cy5	GSM98505	A-GEOD-3254	P-GSE4303-1	P-GSE4303-2	GSM98505_sample_table.txt norm	GSM98505_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98505 1	CRH mRNA	Simple annotation: Primary tumor, Disease response	Image: http://smd.stanford.edu/MicroArray/gifs/2002-01/24144.gif	CRH mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98505 extract 1	total RNA	GSM98505 LE 1	Cy3	GSM98505	A-GEOD-3254	P-GSE4303-1	P-GSE4303-2	GSM98505_sample_table.txt norm	GSM98505_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98504 1	CRH mRNA	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2002-01/24231.gif	CRH mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98504 extract 1	total RNA	GSM98504 LE 1	Cy3	GSM98504	A-GEOD-3254	P-GSE4303-1	P-GSE4303-2	GSM98504_sample_table.txt norm	GSM98504_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98504 2	STT1778 mRNA	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2002-01/24231.gif	STT1778 mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98504 extract 2	total RNA	GSM98504 LE 2	Cy5	GSM98504	A-GEOD-3254	P-GSE4303-1	P-GSE4303-2	GSM98504_sample_table.txt norm	GSM98504_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98503 1	CRH-mRNA	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/42108.gif	CRH-mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98503 extract 1	total RNA	GSM98503 LE 1	Cy3	GSM98503	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98503_sample_table.txt norm	GSM98503_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
