Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Characteristics[sample type]	Characteristics[tissue]	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [SAMPLE TYPE]	FactorValue [TISSUE]
GSM600939 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Extraskeletal myxoid chondrosarcoma	P-GSE24369-2	  	GSM600939 extract 1	total RNA	P-GSE24369-3	  	GSM600939 LE 1	biotin	P-GSE24369-4	  	GSM600939	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600939_EMCS_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600939_sample_table.txt norm	GSM600939_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Extraskeletal myxoid chondrosarcoma
GSM600938 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Extraskeletal myxoid chondrosarcoma	P-GSE24369-2	  	GSM600938 extract 1	total RNA	P-GSE24369-3	  	GSM600938 LE 1	biotin	P-GSE24369-4	  	GSM600938	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600938_EMCS_5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600938_sample_table.txt norm	GSM600938_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Extraskeletal myxoid chondrosarcoma
GSM600937 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Extraskeletal myxoid chondrosarcoma	P-GSE24369-2	  	GSM600937 extract 1	total RNA	P-GSE24369-3	  	GSM600937 LE 1	biotin	P-GSE24369-4	  	GSM600937	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600937_EMCS_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600937_sample_table.txt norm	GSM600937_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Extraskeletal myxoid chondrosarcoma
GSM600936 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Extraskeletal myxoid chondrosarcoma	P-GSE24369-2	  	GSM600936 extract 1	total RNA	P-GSE24369-3	  	GSM600936 LE 1	biotin	P-GSE24369-4	  	GSM600936	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600936_EMCS_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600936_sample_table.txt norm	GSM600936_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Extraskeletal myxoid chondrosarcoma
GSM600935 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Extraskeletal myxoid chondrosarcoma	P-GSE24369-2	  	GSM600935 extract 1	total RNA	P-GSE24369-3	  	GSM600935 LE 1	biotin	P-GSE24369-4	  	GSM600935	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600935_EMCS_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600935_sample_table.txt norm	GSM600935_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Extraskeletal myxoid chondrosarcoma
GSM600934 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Extraskeletal myxoid chondrosarcoma	P-GSE24369-2	  	GSM600934 extract 1	total RNA	P-GSE24369-3	  	GSM600934 LE 1	biotin	P-GSE24369-4	  	GSM600934	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600934_EMCS_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600934_sample_table.txt norm	GSM600934_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Extraskeletal myxoid chondrosarcoma
GSM600933 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Desmoid fibromatosis tumor	P-GSE24369-2	  	GSM600933 extract 1	total RNA	P-GSE24369-3	  	GSM600933 LE 1	biotin	P-GSE24369-4	  	GSM600933	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600933_DFM_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600933_sample_table.txt norm	GSM600933_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Desmoid fibromatosis tumor
GSM600932 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Desmoid fibromatosis tumor	P-GSE24369-2	  	GSM600932 extract 1	total RNA	P-GSE24369-3	  	GSM600932 LE 1	biotin	P-GSE24369-4	  	GSM600932	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600932_DFM_5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600932_sample_table.txt norm	GSM600932_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Desmoid fibromatosis tumor
GSM600931 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Desmoid fibromatosis tumor	P-GSE24369-2	  	GSM600931 extract 1	total RNA	P-GSE24369-3	  	GSM600931 LE 1	biotin	P-GSE24369-4	  	GSM600931	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600931_DFM_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600931_sample_table.txt norm	GSM600931_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Desmoid fibromatosis tumor
GSM600930 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Desmoid fibromatosis tumor	P-GSE24369-2	  	GSM600930 extract 1	total RNA	P-GSE24369-3	  	GSM600930 LE 1	biotin	P-GSE24369-4	  	GSM600930	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600930_DFM_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600930_sample_table.txt norm	GSM600930_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Desmoid fibromatosis tumor
GSM600929 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Desmoid fibromatosis tumor	P-GSE24369-2	  	GSM600929 extract 1	total RNA	P-GSE24369-3	  	GSM600929 LE 1	biotin	P-GSE24369-4	  	GSM600929	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600929_DFM_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600929_sample_table.txt norm	GSM600929_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Desmoid fibromatosis tumor
GSM600928 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Desmoid fibromatosis tumor	P-GSE24369-2	  	GSM600928 extract 1	total RNA	P-GSE24369-3	  	GSM600928 LE 1	biotin	P-GSE24369-4	  	GSM600928	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600928_DFM_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600928_sample_table.txt norm	GSM600928_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Desmoid fibromatosis tumor
