Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Characteristics[sample type]	Characteristics[tissue]	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [SAMPLE TYPE]	FactorValue [TISSUE]
GSM600959 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Myxofibrosarcoma	P-GSE24369-2	  	GSM600959 extract 1	total RNA	P-GSE24369-3	  	GSM600959 LE 1	biotin	P-GSE24369-4	  	GSM600959	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600959_MFS_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600959_sample_table.txt norm	GSM600959_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Myxofibrosarcoma
GSM600958 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Myxofibrosarcoma	P-GSE24369-2	  	GSM600958 extract 1	total RNA	P-GSE24369-3	  	GSM600958 LE 1	biotin	P-GSE24369-4	  	GSM600958	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600958_MFS_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600958_sample_table.txt norm	GSM600958_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Myxofibrosarcoma
GSM600957 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Myxofibrosarcoma	P-GSE24369-2	  	GSM600957 extract 1	total RNA	P-GSE24369-3	  	GSM600957 LE 1	biotin	P-GSE24369-4	  	GSM600957	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600957_MFS_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600957_sample_table.txt norm	GSM600957_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Myxofibrosarcoma
GSM600956 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Low-grade fibromyxoid sarcoma	P-GSE24369-2	  	GSM600956 extract 1	total RNA	P-GSE24369-3	  	GSM600956 LE 1	biotin	P-GSE24369-4	  	GSM600956	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600956_LGFMS_17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600956_sample_table.txt norm	GSM600956_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Low-grade fibromyxoid sarcoma
GSM600955 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Low-grade fibromyxoid sarcoma	P-GSE24369-2	  	GSM600955 extract 1	total RNA	P-GSE24369-3	  	GSM600955 LE 1	biotin	P-GSE24369-4	  	GSM600955	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600955_LGFMS_16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600955_sample_table.txt norm	GSM600955_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Low-grade fibromyxoid sarcoma
GSM600954 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Low-grade fibromyxoid sarcoma	P-GSE24369-2	  	GSM600954 extract 1	total RNA	P-GSE24369-3	  	GSM600954 LE 1	biotin	P-GSE24369-4	  	GSM600954	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600954_LGFMS_15.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600954_sample_table.txt norm	GSM600954_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Low-grade fibromyxoid sarcoma
GSM600953 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Low-grade fibromyxoid sarcoma	P-GSE24369-2	  	GSM600953 extract 1	total RNA	P-GSE24369-3	  	GSM600953 LE 1	biotin	P-GSE24369-4	  	GSM600953	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600953_LGFMS_14.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600953_sample_table.txt norm	GSM600953_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Low-grade fibromyxoid sarcoma
GSM600952 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Low-grade fibromyxoid sarcoma	P-GSE24369-2	  	GSM600952 extract 1	total RNA	P-GSE24369-3	  	GSM600952 LE 1	biotin	P-GSE24369-4	  	GSM600952	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600952_LGFMS_13.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600952_sample_table.txt norm	GSM600952_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Low-grade fibromyxoid sarcoma
GSM600951 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Low-grade fibromyxoid sarcoma	P-GSE24369-2	  	GSM600951 extract 1	total RNA	P-GSE24369-3	  	GSM600951 LE 1	biotin	P-GSE24369-4	  	GSM600951	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600951_LGFMS_12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600951_sample_table.txt norm	GSM600951_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Low-grade fibromyxoid sarcoma
GSM600950 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Low-grade fibromyxoid sarcoma	P-GSE24369-2	  	GSM600950 extract 1	total RNA	P-GSE24369-3	  	GSM600950 LE 1	biotin	P-GSE24369-4	  	GSM600950	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600950_LGFMS_11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600950_sample_table.txt norm	GSM600950_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Low-grade fibromyxoid sarcoma
