nct	group_norm	resolved_at_step	candidates_still_competing
NCT00931606	placebo	e (largest Participants denominator)	4
NCT00931606	placebo	f (smallest outcome index)	2
NCT00567190	pertuzumab + trastuzumab + docetaxel	e (largest Participants denominator)	2
NCT00567190	placebo + trastuzumab + docetaxel	e (largest Participants denominator)	2
NCT00371566	placebo	e (largest Participants denominator)	2
NCT00371566	lapatinib	e (largest Participants denominator)	2
NCT00537095	zd6474	f (smallest outcome index)	2
NCT00537095	placebo	f (smallest outcome index)	2
NCT00600015	combination therapy	f (smallest outcome index)	2
NCT00600015	placebo	f (smallest outcome index)	2
NCT00661830	gemcitabine + sorafenib	e (largest Participants denominator)	2
NCT00661830	gemcitabine + placebo	e (largest Participants denominator)	2
NCT00434252	carboplatin+paclitaxel+placebo	e (largest Participants denominator)	2
NCT00434252	carboplatin+paclitaxel+bevacizumab	e (largest Participants denominator)	2
NCT00096993	placebo + gemcitabine	e (largest Participants denominator)	2
NCT00096993	pertuzumab + gemcitabine	e (largest Participants denominator)	2
NCT00130728	erlotinib hcl + bevacizumab	e (largest Participants denominator)	2
NCT00130728	erlotinib hcl + placebo	e (largest Participants denominator)	2
NCT00854308	metmab + erlotinib	e (largest Participants denominator)	3
NCT00854308	placebo + erlotinib	e (largest Participants denominator)	3
NCT00789373	pemetrexed + cisplatin followed by placebo	f (smallest outcome index)	2
NCT01007942	everolimus + vinorelbine + trastuzumab	f (smallest outcome index)	2
NCT01007942	placebo + vinorelbine + trastuzumab	f (smallest outcome index)	2
NCT02799069	vehicle	e (largest Participants denominator)	7
NCT02799069	vehicle	f (smallest outcome index)	4
NCT02799069	bf-200 ala	e (largest Participants denominator)	7
NCT02799069	bf-200 ala	f (smallest outcome index)	4
NCT02799069	mal cream	e (largest Participants denominator)	7
NCT02799069	mal cream	f (smallest outcome index)	4
NCT00676663	exemestane 25 mg + placebo	f (smallest outcome index)	2
NCT00676663	exemestane 25 mg + entinostat 5 mg	f (smallest outcome index)	2
